vehicle_id,scheduled_depart_s,sampled_headway_s,preferred_speed_mps,min_gap_m,preferred_tau_s
veh_000040,239.534434,5.870634,23.966130,4.420945,1.691725
veh_000041,245.093585,5.559150,21.162342,3.851729,2.031798
veh_000042,251.265215,6.171630,18.935046,3.347555,1.179442
veh_000043,258.493169,7.227954,21.724816,3.366989,1.863161
veh_000044,265.450790,6.957621,24.519119,2.205757,2.055457
veh_000045,271.975617,6.524828,26.113834,4.004264,2.029820
veh_000046,278.950539,6.974922,22.490108,3.023987,1.473704
veh_000047,285.668278,6.717738,21.648805,3.433816,1.558059
veh_000048,290.727799,5.059522,20.554116,3.368327,1.545104
veh_000049,295.651743,4.923943,21.188585,2.403575,1.968264
veh_000050,300.946790,5.295048,23.543356,2.612327,1.198271
veh_000051,307.695780,6.748990,25.153610,3.900133,1.975655
veh_000052,313.320607,5.624827,25.131479,3.589270,1.404501
veh_000053,322.824238,9.503631,21.806829,3.071422,2.084174
veh_000054,327.595299,4.771061,24.330000,3.394891,1.662871
veh_000055,331.946987,4.351688,24.058681,3.716787,1.714609
veh_000056,339.099697,7.152710,23.366084,1.832555,1.740180
veh_000057,347.232472,8.132775,22.211018,2.579938,1.436050
veh_000058,353.991011,6.758539,21.717953,3.722207,1.482764
veh_000059,361.244737,7.253726,25.318812,3.941775,1.581166
veh_000060,369.384255,8.139517,21.719208,2.781726,1.746239
veh_000061,375.243214,5.858959,23.360401,3.454492,1.682489
veh_000062,379.108775,3.865562,22.936863,3.036443,1.894204
veh_000063,384.310660,5.201885,25.183544,2.478090,1.600813
veh_000064,391.740004,7.429344,24.056190,2.209954,1.350158
veh_000065,395.574487,3.834482,24.651422,4.262629,1.606519
veh_000066,401.624783,6.050297,25.694882,3.387765,1.550431
veh_000067,408.004640,6.379856,24.495562,4.213647,1.968510
veh_000068,413.531251,5.526612,24.101410,3.835866,1.789741
veh_000069,420.616699,7.085448,21.769396,3.781189,1.570880
veh_000070,427.487869,6.871170,22.569739,1.935786,2.174047
veh_000071,436.969982,9.482113,22.428520,3.657921,1.908741
veh_000072,443.899933,6.929952,23.491326,2.896643,1.683219
veh_000073,448.985828,5.085895,22.183327,2.297971,1.701319
veh_000074,454.143132,5.157304,21.701867,3.142589,2.100980
veh_000075,458.895760,4.752628,26.177730,2.954152,1.353499
veh_000076,466.324170,7.428410,19.710292,1.910897,1.518017
veh_000077,471.473921,5.149751,20.492928,2.167411,2.013111
veh_000078,477.368530,5.894609,25.379704,3.893757,2.057640
veh_000079,484.492484,7.123954,22.414431,2.477102,1.434753
veh_000080,489.407289,4.914806,21.099208,3.646055,1.663386
veh_000081,494.966802,5.559513,18.231937,2.657748,1.600420
veh_000082,498.204873,3.238071,23.728273,3.743783,1.467255
veh_000083,502.581155,4.376282,20.627732,2.706027,1.679402
veh_000084,507.729551,5.148395,22.120690,2.372885,1.691163
veh_000085,514.353192,6.623641,21.392131,1.491031,1.485941
veh_000086,522.143432,7.790240,23.781879,2.890405,1.840346
veh_000087,528.115732,5.972300,19.545913,3.671921,2.058799
veh_000088,534.507778,6.392046,24.267784,3.131222,1.720912
veh_000089,540.759732,6.251954,20.808515,2.419767,1.943638
veh_000090,548.386844,7.627112,21.557833,2.017043,1.951905
veh_000091,555.726877,7.340033,18.126777,2.403091,1.795900
veh_000092,562.137417,6.410540,19.805538,3.931280,1.400061
veh_000093,566.621000,4.483584,21.388103,3.310926,1.706507
veh_000094,573.976078,7.355078,24.176645,2.462851,1.751947
veh_000095,580.547649,6.571571,22.901024,4.409718,2.191510
veh_000096,588.388061,7.840412,23.638522,2.554235,1.520879
veh_000097,594.343201,5.955140,23.986467,3.146819,1.220000
veh_000098,603.272853,8.929651,19.258792,2.650525,1.830530
veh_000099,608.734538,5.461685,25.598656,3.726465,1.593017
veh_000100,617.124129,8.389591,21.626245,2.571444,1.896930
veh_000101,623.296807,6.172678,23.882800,1.503574,1.723819
veh_000102,628.522404,5.225596,21.946835,3.376254,1.731269
veh_000103,632.829732,4.307328,22.946974,4.694259,2.431744
veh_000104,638.603186,5.773454,23.795692,1.948098,1.737613
veh_000105,646.738168,8.134982,22.741277,2.736994,1.508939
veh_000106,653.962729,7.224562,24.796271,1.803303,2.173583
veh_000107,660.996055,7.033326,22.838624,2.884922,1.754723
veh_000108,663.432246,2.436191,22.548999,4.390195,1.935985
veh_000109,670.498693,7.066446,19.397791,1.967392,1.524623
veh_000110,677.332471,6.833779,21.477345,1.818883,1.801216
veh_000111,682.507582,5.175111,22.014587,2.589520,2.034683
veh_000112,687.566505,5.058923,25.878955,2.657597,2.009367
veh_000113,693.563040,5.996534,18.142363,4.453415,1.605194
veh_000114,702.150354,8.587314,20.814514,2.788298,1.775296
veh_000115,706.567703,4.417349,21.520061,4.221267,1.556027
veh_000116,711.925995,5.358292,24.954015,1.750372,1.209298
veh_000117,719.968672,8.042677,25.120894,3.032515,1.390170
veh_000118,725.299446,5.330774,22.491663,2.452390,2.157133
veh_000119,730.753069,5.453623,22.556428,2.590451,1.887328
veh_000120,736.899734,6.146665,21.990626,3.187053,1.921351
veh_000121,741.037800,4.138066,21.257389,2.706704,1.533736
veh_000122,747.367718,6.329918,21.276278,4.665769,1.749769
veh_000123,751.553291,4.185574,21.310267,2.925267,1.935627
veh_000124,758.881089,7.327797,22.008706,3.721812,1.292616
veh_000125,764.885860,6.004771,22.526652,2.136769,2.173521
veh_000126,774.311007,9.425147,20.931731,3.755285,1.676992
veh_000127,780.732268,6.421261,23.752141,2.026719,1.946039
veh_000128,788.780802,8.048534,22.268203,3.658182,1.413527
veh_000129,792.825906,4.045104,23.547400,3.416469,1.787270
veh_000130,798.642697,5.816791,19.299482,3.314507,1.885311
veh_000131,805.127416,6.484718,20.781019,3.586374,1.707640
veh_000132,813.745997,8.618581,22.560076,3.383607,1.876360
veh_000133,817.224623,3.478626,22.988205,3.916111,1.851248
veh_000134,824.710553,7.485930,21.955851,2.595463,1.615738
veh_000135,831.597584,6.887031,25.794630,3.207476,1.810137
veh_000136,839.897903,8.300319,21.881496,2.986866,1.787165
veh_000137,846.966481,7.068578,25.545432,3.058549,2.126396
veh_000138,853.044588,6.078107,25.470998,1.525798,2.167872
veh_000139,858.262114,5.217526,23.905720,3.806688,1.654468
veh_000140,862.389844,4.127730,23.347708,2.468889,1.614543
veh_000141,868.682978,6.293134,23.590333,2.840391,1.719889
veh_000142,874.395433,5.712455,22.027772,3.532244,2.318069
veh_000143,883.425834,9.030401,19.835174,2.154383,1.890383
veh_000144,888.509297,5.083463,21.185680,3.540812,1.421266
veh_000145,894.989885,6.480588,20.935397,3.400352,2.095173
veh_000146,898.636382,3.646498,21.428294,3.426307,1.579954
veh_000147,904.043189,5.406806,20.709785,3.470699,1.741564
veh_000148,910.434910,6.391722,19.947295,2.614163,1.919086
veh_000149,917.670850,7.235940,22.641344,2.892944,2.007020
veh_000150,925.843003,8.172153,25.532279,2.282728,1.391659
veh_000151,931.776781,5.933778,20.395675,3.292613,1.684907
veh_000152,936.100913,4.324133,18.232177,4.143097,1.787636
veh_000153,942.787689,6.686776,21.055890,2.858896,2.245032
veh_000154,949.563170,6.775481,19.590091,2.469290,1.617477
veh_000155,956.300657,6.737488,20.065464,2.952395,1.925534
veh_000156,961.250226,4.949568,19.446321,3.315877,2.378897
veh_000157,968.950302,7.700077,22.021258,2.241684,2.113730
veh_000158,975.082146,6.131844,23.519847,2.479839,1.870294
veh_000159,982.131883,7.049737,19.699840,2.514826,1.889616
veh_000160,990.042993,7.911110,19.177516,2.557369,1.884706
veh_000161,996.956901,6.913908,21.958687,3.912097,2.189356
veh_000162,1003.386675,6.429774,22.041458,2.569730,2.222055
veh_000163,1012.615868,9.229193,25.944765,4.491176,1.502723
veh_000164,1018.981423,6.365555,25.255197,3.446605,1.496889
veh_000165,1024.537476,5.556054,20.845089,2.859071,1.794289
veh_000166,1030.705427,6.167951,23.623848,2.601377,1.482623
veh_000167,1038.929580,8.224153,21.346117,2.200421,2.293595
veh_000168,1045.107649,6.178069,25.408934,3.018394,1.272790
veh_000169,1051.886715,6.779066,22.066255,2.515476,2.101999
veh_000170,1059.680312,7.793597,22.014809,3.280694,1.155274
veh_000171,1064.911024,5.230712,19.678137,1.812716,1.838408
veh_000172,1068.321170,3.410145,22.251014,2.505661,1.715061
veh_000173,1074.770304,6.449135,24.928912,3.650214,1.531538
veh_000174,1081.114907,6.344602,20.527738,3.457377,2.150613
veh_000175,1086.202891,5.087985,22.795297,3.279273,1.662566
veh_000176,1093.509521,7.306630,21.033448,3.539285,2.167177
veh_000177,1100.420872,6.911351,24.378268,3.826708,2.187566
veh_000178,1104.928383,4.507511,22.223519,2.340286,1.584286
veh_000179,1111.705711,6.777328,23.569760,1.063373,2.036699
veh_000180,1117.411554,5.705843,23.056936,2.676959,2.165907
veh_000181,1121.187016,3.775462,20.368582,1.276942,2.113129
veh_000182,1127.866441,6.679425,19.769634,2.948143,1.819153
veh_000183,1133.798619,5.932178,25.287570,2.116790,1.928691
veh_000184,1138.680695,4.882076,21.574228,2.984338,1.373345
veh_000185,1145.465113,6.784418,20.044782,3.425146,1.654314
veh_000186,1152.197253,6.732140,20.893353,2.048271,1.378501
veh_000187,1157.330947,5.133694,26.060924,4.036043,1.449918
veh_000188,1163.931476,6.600528,22.561158,2.580684,1.535782
veh_000189,1171.454073,7.522597,24.835803,4.094643,1.570237
veh_000190,1176.385073,4.931000,22.541989,1.382576,2.097277
veh_000191,1182.956408,6.571335,25.344839,4.464478,1.262959
veh_000192,1188.960542,6.004134,21.656419,4.726515,1.572753
veh_000193,1198.359557,9.399015,22.232171,2.342263,1.952938
veh_000194,1201.566103,3.206546,24.294754,3.176436,1.788949
veh_000195,1208.609029,7.042926,26.584892,4.323995,1.616968
veh_000196,1214.149661,5.540632,22.725094,3.389652,2.192766
veh_000197,1219.999365,5.849704,20.848346,2.095403,2.140266
veh_000198,1228.851748,8.852383,24.641754,4.088323,1.551351
veh_000199,1234.838888,5.987140,19.340248,3.330884,1.593675
veh_000200,1244.200304,9.361416,20.475674,2.155365,1.799206
veh_000201,1249.537082,5.336778,23.802451,3.482641,1.721716
veh_000202,1256.062850,6.525768,21.394055,2.787515,1.353330
veh_000203,1261.326579,5.263729,22.357919,1.976868,2.368800
veh_000204,1266.290547,4.963968,23.020454,3.468993,1.664892
veh_000205,1272.384272,6.093725,23.930118,2.517895,2.183027
veh_000206,1277.960414,5.576143,25.510518,3.419100,1.979629
veh_000207,1284.264152,6.303737,19.447545,3.878357,2.113133
veh_000208,1287.106610,2.842458,21.159941,2.656471,1.808590
veh_000209,1296.110311,9.003702,22.236319,3.489968,1.480075
veh_000210,1301.859816,5.749505,23.310879,2.692390,1.614387
veh_000211,1310.474174,8.614358,20.689377,2.714441,1.553350
veh_000212,1314.963506,4.489332,22.431484,3.277561,1.786287
veh_000213,1321.402310,6.438804,20.639464,3.713166,1.886221
veh_000214,1332.149723,10.747413,24.299535,3.270074,1.921114
veh_000215,1336.845129,4.695406,25.182590,3.040330,1.422219
veh_000216,1340.602179,3.757050,20.652281,2.843393,1.625105
veh_000217,1345.782415,5.180236,23.702594,2.185092,1.401344
veh_000218,1352.491148,6.708733,20.052012,3.400902,1.895204
veh_000219,1359.531158,7.040010,23.274766,2.355373,1.868246
veh_000220,1367.466708,7.935550,19.174986,3.544392,1.483911
veh_000221,1373.081189,5.614481,22.941773,2.268021,1.857906
veh_000222,1376.677813,3.596624,24.981028,3.239673,1.967600
veh_000223,1382.025268,5.347455,24.432803,2.982642,1.847369
veh_000224,1389.885602,7.860334,18.238399,3.504361,2.144736
veh_000225,1396.584096,6.698494,22.697789,2.120588,1.787549
veh_000226,1399.648688,3.064592,21.583484,2.054936,1.692592
veh_000227,1405.596111,5.947423,25.575936,3.910433,1.799256
veh_000228,1413.693363,8.097252,23.306127,3.081654,1.547511
veh_000229,1422.883185,9.189822,25.681770,3.317788,1.451528
veh_000230,1429.725715,6.842530,21.172513,4.196773,1.216633
veh_000231,1436.189669,6.463953,19.811828,3.515406,2.398412
veh_000232,1440.329360,4.139691,23.056784,1.942328,1.325353
veh_000233,1445.064496,4.735136,21.767303,4.371833,1.968476
veh_000234,1451.134870,6.070374,23.070571,2.963098,1.210993
veh_000235,1457.889666,6.754797,22.029297,2.861081,2.059801
veh_000236,1464.759943,6.870276,22.930013,2.591521,1.572410
veh_000237,1470.042630,5.282687,25.641570,1.636407,1.636848
veh_000238,1474.314716,4.272087,19.671405,1.252662,2.481007
veh_000239,1479.148044,4.833327,23.598209,3.945616,1.490867
veh_000240,1483.412582,4.264538,25.240806,3.086026,1.755427
veh_000241,1490.377696,6.965114,23.576617,1.829184,1.345367
veh_000242,1492.909274,2.531578,26.570860,2.447775,2.144255
veh_000243,1498.409357,5.500083,21.682204,4.034736,2.092208
veh_000244,1505.084175,6.674817,22.751207,3.385192,2.633721
veh_000245,1513.367194,8.283019,21.733948,2.813314,1.738276
veh_000246,1519.474143,6.106950,21.653562,2.620166,1.767392
veh_000247,1526.976069,7.501926,26.392871,2.496458,2.198154
veh_000248,1532.377563,5.401494,19.188227,4.220496,2.083473
veh_000249,1537.260957,4.883394,21.089347,2.578119,1.383572
veh_000250,1542.249367,4.988410,21.252695,2.840782,1.929303
veh_000251,1550.540371,8.291004,22.449617,1.908071,1.709815
veh_000252,1558.031703,7.491332,21.726327,4.034687,1.650063
veh_000253,1564.762800,6.731097,23.811590,2.982119,1.465565
veh_000254,1575.758203,10.995403,23.573950,3.116679,2.170140
veh_000255,1581.709691,5.951488,26.438218,3.867595,1.644510
veh_000256,1588.640215,6.930524,24.345058,4.000103,1.945340
veh_000257,1595.101603,6.461387,20.356938,3.534484,1.527462
veh_000258,1600.768774,5.667171,18.814252,2.821696,1.636715
veh_000259,1610.243031,9.474257,21.474169,2.575436,1.469142
veh_000260,1618.502939,8.259907,21.021634,3.259177,1.464352
veh_000261,1622.403719,3.900781,21.812575,2.236183,1.908357
veh_000262,1627.803950,5.400231,25.363066,4.760687,1.202159
veh_000263,1634.446454,6.642505,23.154915,2.445224,1.765672
veh_000264,1641.621229,7.174775,19.325345,2.945128,1.571037
veh_000265,1645.598559,3.977329,20.618912,3.267344,1.710157
veh_000266,1648.215216,2.616658,25.966550,1.665530,2.195667
veh_000267,1651.355666,3.140450,19.694320,4.382452,1.923961
veh_000268,1657.248999,5.893333,24.029664,2.060865,1.514682
veh_000269,1663.094194,5.845195,24.287123,4.132741,1.989054
veh_000270,1669.612023,6.517829,19.679328,3.142200,1.779821
veh_000271,1674.457511,4.845488,19.460680,3.143891,2.358453
veh_000272,1678.621154,4.163643,23.103742,3.284924,1.417200
veh_000273,1681.586587,2.965432,23.035143,3.905109,1.652582
veh_000274,1688.080368,6.493781,24.647830,3.187601,2.331684
veh_000275,1694.635449,6.555081,23.631921,2.856081,2.005503
veh_000276,1702.124939,7.489491,20.118068,2.933696,1.975485
veh_000277,1709.311133,7.186194,26.431821,3.401821,2.302338
veh_000278,1715.025059,5.713927,22.784583,2.966314,1.804696
veh_000279,1723.048951,8.023891,22.676497,3.410883,1.742320
veh_000280,1728.844400,5.795450,22.826774,2.936576,2.154621
veh_000281,1733.853146,5.008745,18.987169,1.943188,2.337699
veh_000282,1739.072278,5.219132,20.541062,3.625418,1.236689
veh_000283,1744.195061,5.122783,24.194610,2.722128,1.814525
veh_000284,1746.946456,2.751395,23.922253,2.988306,1.971630
veh_000285,1753.180945,6.234489,21.240483,3.752691,1.886142
veh_000286,1759.555773,6.374828,22.626208,2.963886,2.009679
veh_000287,1765.012374,5.456601,21.180789,3.509974,1.851168
veh_000288,1769.941612,4.929238,21.118370,3.671395,1.761979
veh_000289,1776.499318,6.557706,21.400943,2.790079,1.507803
veh_000290,1785.074624,8.575306,19.887115,2.627618,2.069220
veh_000291,1791.132006,6.057383,20.750236,2.241917,1.868338
veh_000292,1796.370556,5.238550,22.104423,3.290880,1.743342
veh_000293,1801.483385,5.112829,22.379690,3.585661,1.386289
veh_000294,1807.378751,5.895365,22.020189,3.688969,1.349927
veh_000295,1811.481602,4.102852,21.950708,3.206772,1.705856
veh_000296,1817.293711,5.812109,23.310062,2.418537,2.143385
veh_000297,1823.385485,6.091773,22.635419,3.072238,1.767446
veh_000298,1832.152503,8.767018,22.522134,2.705352,1.958938
veh_000299,1839.567713,7.415211,21.496530,2.806753,2.320251
veh_000300,1847.118757,7.551044,22.227592,1.528112,1.253053
veh_000301,1852.049334,4.930577,24.145497,2.779354,1.752111
veh_000302,1859.054217,7.004882,23.915253,2.985804,2.079894
veh_000303,1863.345143,4.290926,21.711339,4.047583,2.115654
veh_000304,1869.813084,6.467941,20.992056,4.607661,1.729989
veh_000305,1876.441190,6.628106,20.774613,4.380349,1.848395
veh_000306,1881.291576,4.850386,19.970596,3.501974,1.732423
veh_000307,1890.290645,8.999070,25.976303,3.029015,1.997821
veh_000308,1897.141706,6.851060,20.488280,1.721035,2.123717
veh_000309,1900.287613,3.145908,24.450610,3.174640,1.664887
veh_000310,1907.116903,6.829290,22.239932,3.965784,2.170415
veh_000311,1912.505786,5.388882,23.829184,3.904630,1.411207
veh_000312,1918.507850,6.002064,21.054586,2.720734,2.141844
veh_000313,1925.206497,6.698647,21.868216,4.218614,1.108850
veh_000314,1931.792296,6.585799,24.655234,2.133735,2.013902
veh_000315,1934.733569,2.941273,25.897303,3.659571,1.127482
veh_000316,1938.996089,4.262520,22.868310,3.304277,1.893769
veh_000317,1946.155026,7.158936,24.966471,2.736000,1.971790
veh_000318,1954.106832,7.951806,23.976797,3.457566,1.733160
veh_000319,1962.961561,8.854729,24.551926,2.561290,1.969027
veh_000320,1971.666314,8.704752,23.205446,3.207854,1.368080
veh_000321,1974.583009,2.916695,22.260613,2.604675,1.962324
veh_000322,1981.737232,7.154223,21.722811,3.041278,1.656694
veh_000323,1984.862797,3.125565,24.354042,3.310732,1.703796
veh_000324,1993.283198,8.420401,21.947299,3.125933,1.780178
veh_000325,1999.663222,6.380024,23.433626,3.536742,1.619759
veh_000326,2003.951469,4.288247,21.180640,4.795574,1.916095
veh_000327,2012.966320,9.014851,20.858640,2.361653,1.682588
veh_000328,2019.932276,6.965956,22.096168,3.869134,2.218477
veh_000329,2023.095553,3.163277,24.270359,2.586989,1.806916
veh_000330,2029.535755,6.440202,19.957595,3.249964,2.198388
veh_000331,2034.439045,4.903290,25.518742,2.188950,1.708514
veh_000332,2040.605989,6.166943,22.592838,3.548225,1.541138
veh_000333,2045.908197,5.302208,23.475979,3.703106,1.980772
veh_000334,2053.968438,8.060241,20.943449,3.223325,1.733020
veh_000335,2057.833508,3.865070,24.891133,3.025610,2.125706
veh_000336,2064.309616,6.476108,22.133863,3.865978,2.119736
veh_000337,2073.030898,8.721283,23.406801,2.606016,1.412715
veh_000338,2077.790458,4.759560,18.801275,3.677744,2.541151
veh_000339,2084.106431,6.315973,26.794883,3.212586,1.619529
veh_000340,2090.409433,6.303002,24.275571,2.195671,1.817310
veh_000341,2095.374880,4.965447,20.876813,3.148985,1.873849
veh_000342,2102.346720,6.971840,21.092698,3.460210,1.900325
veh_000343,2108.492296,6.145575,22.916348,4.338322,1.699859
veh_000344,2113.076645,4.584349,20.652319,3.219353,1.848293
veh_000345,2121.719669,8.643024,19.208904,3.208582,2.155062
veh_000346,2128.907091,7.187422,22.185111,2.983944,2.592047
veh_000347,2134.656431,5.749340,25.481812,4.058119,1.568277
veh_000348,2139.701419,5.044988,23.909753,3.535943,2.045167
veh_000349,2144.524875,4.823456,23.514334,2.813594,1.973198
veh_000350,2152.371286,7.846411,21.390089,2.473673,2.019816
veh_000351,2158.151569,5.780283,26.224567,3.309419,2.035088
veh_000352,2164.840726,6.689157,20.383519,2.892691,2.209720
veh_000353,2170.564041,5.723315,20.541963,2.672835,1.738965
veh_000354,2177.488655,6.924614,19.734790,2.894124,2.079144
veh_000355,2183.314687,5.826031,23.434255,3.566155,1.829009
veh_000356,2190.460467,7.145781,20.637851,3.353044,2.055267
veh_000357,2196.185651,5.725184,22.549348,3.274763,1.766351
veh_000358,2203.430032,7.244381,24.292495,3.185903,2.008812
veh_000359,2210.438608,7.008576,18.864400,2.748525,2.284467
veh_000360,2216.263693,5.825085,20.635334,2.800515,1.851190
veh_000361,2220.974028,4.710334,23.835720,3.701988,1.643992
veh_000362,2225.563848,4.589820,22.759880,2.583005,1.332352
veh_000363,2230.452742,4.888895,22.148218,4.023084,2.192329
veh_000364,2234.976011,4.523269,22.487127,3.300401,1.472085
veh_000365,2242.274706,7.298695,20.998806,2.778104,1.535369
veh_000366,2248.204802,5.930097,23.112861,2.854447,1.476601
veh_000367,2256.559954,8.355151,24.281418,2.707854,1.779454
veh_000368,2265.978948,9.418995,20.954004,3.770816,1.738108
veh_000369,2272.015282,6.036334,20.973838,3.777403,1.536074
veh_000370,2275.693256,3.677974,19.688366,4.299868,2.348629
veh_000371,2281.121076,5.427820,22.055208,3.391367,1.135689
veh_000372,2287.008053,5.886977,24.930469,2.191772,1.894401
veh_000373,2290.775390,3.767336,20.936329,2.549360,1.473948
veh_000374,2296.399650,5.624260,21.947964,2.691175,2.224276
veh_000375,2302.830069,6.430419,25.491136,2.898022,1.904431
veh_000376,2308.140928,5.310858,20.569010,4.147401,2.121531
veh_000377,2312.988289,4.847361,21.695066,3.692254,2.325678
veh_000378,2317.850153,4.861865,22.303676,3.684095,1.485134
veh_000379,2326.530179,8.680026,22.054339,4.408657,1.929737
veh_000380,2332.290710,5.760531,21.962496,3.554428,2.144964
veh_000381,2337.045815,4.755105,25.622600,4.222373,1.643892
veh_000382,2342.486467,5.440652,23.661794,3.341937,1.898720
veh_000383,2349.917983,7.431516,18.816484,3.890461,1.718363
veh_000384,2354.890951,4.972968,23.440869,3.303907,1.174145
veh_000385,2361.613722,6.722771,22.233405,2.547580,1.677167
veh_000386,2368.705549,7.091827,25.608103,2.772984,1.497243
veh_000387,2375.829226,7.123677,26.291210,3.225710,1.481437
veh_000388,2383.928768,8.099542,23.072432,2.637339,2.204165
veh_000389,2389.103045,5.174277,22.212626,2.335514,1.568952
veh_000390,2396.802144,7.699099,23.719092,2.833723,1.230438
veh_000391,2401.612864,4.810720,19.891687,3.255563,1.377729
veh_000392,2407.018054,5.405190,23.304780,3.494933,1.415470
veh_000393,2414.812185,7.794131,23.646625,2.524712,1.785566
veh_000394,2422.045748,7.233563,22.737472,1.993497,1.824417
veh_000395,2428.048894,6.003146,20.291929,3.118674,1.785192
veh_000396,2432.261773,4.212879,24.251502,3.390824,1.626041
veh_000397,2439.104263,6.842490,21.978259,2.837793,2.338040
veh_000398,2444.158704,5.054441,21.205929,3.084409,1.923263
veh_000399,2448.772877,4.614173,23.278339,2.462845,1.903892
veh_000400,2453.800675,5.027799,20.456651,2.913257,1.802182
veh_000401,2460.170417,6.369741,24.501739,1.786539,2.300925
veh_000402,2462.988868,2.818452,22.229163,2.064417,1.883146
veh_000403,2469.530013,6.541145,20.355845,4.417364,1.944850
veh_000404,2475.790878,6.260864,23.034935,2.611974,1.551111
veh_000405,2480.914088,5.123210,24.835037,3.401977,1.692926
veh_000406,2488.469479,7.555391,19.195075,3.373210,2.039544
veh_000407,2495.386640,6.917161,20.311866,2.510008,1.880360
veh_000408,2500.477213,5.090574,23.814031,3.254976,2.115993
veh_000409,2505.472188,4.994975,24.475281,4.234941,1.764495
veh_000410,2512.514916,7.042727,21.962515,1.532131,1.108330
veh_000411,2516.240805,3.725890,24.088685,2.534526,1.585386
veh_000412,2521.741872,5.501066,19.877559,2.598521,1.515630
veh_000413,2526.795302,5.053430,24.276930,2.932043,1.812004
veh_000414,2532.900118,6.104816,19.014506,3.888809,1.746187
veh_000415,2539.216808,6.316690,23.266381,2.896327,1.843527
veh_000416,2545.271990,6.055182,25.329007,2.741659,1.664303
veh_000417,2552.974262,7.702272,22.136597,2.933553,1.445303
veh_000418,2559.316356,6.342095,24.031995,3.339184,1.599695
veh_000419,2564.843868,5.527512,24.385815,1.898171,2.399166
veh_000420,2569.027586,4.183718,21.977937,2.669132,1.782674
veh_000421,2576.110360,7.082775,24.159460,3.246386,1.565101
veh_000422,2582.902580,6.792220,19.405898,2.860256,1.967649
veh_000423,2591.078794,8.176214,26.458353,3.416968,1.854949
veh_000424,2595.957612,4.878818,22.854883,4.337083,1.268607
veh_000425,2601.997239,6.039627,26.157017,2.795474,1.244663
veh_000426,2607.909200,5.911961,19.494916,3.169307,1.405750
veh_000427,2613.777784,5.868584,20.479419,3.980722,1.951067
veh_000428,2619.793369,6.015585,25.423327,3.707580,1.387394
veh_000429,2623.221560,3.428191,23.488419,3.213676,1.569591
veh_000430,2630.459038,7.237478,20.210811,2.120685,1.794406
veh_000431,2637.438847,6.979809,20.930868,3.258654,1.348345
veh_000432,2645.134557,7.695710,20.684837,1.863173,1.661679
veh_000433,2654.508919,9.374362,24.747195,2.429411,1.868163
veh_000434,2660.030468,5.521549,21.054248,2.355500,1.763392
veh_000435,2665.976253,5.945785,22.474049,1.403007,1.844539
veh_000436,2671.990929,6.014675,24.712189,3.342177,1.287969
veh_000437,2680.904207,8.913278,20.497502,2.312333,1.389213
veh_000438,2684.307377,3.403170,21.221689,3.422136,1.413288
